strategy,n,model,method,metric,mean
Compression,87,xlmr,integrated_gradients,f1_at_k,0.2109
Compression,87,xlmr,integrated_gradients,precision_at_k,0.2109
Compression,87,xlmr,integrated_gradients,recall_at_k,0.2109
Explanation,79,xlmr,integrated_gradients,auprc,0.294
Explanation,79,xlmr,integrated_gradients,f1_at_k,0.2574
Explanation,79,xlmr,integrated_gradients,precision_at_k,0.2574
Explanation,79,xlmr,integrated_gradients,recall_at_k,0.2574
Modulation,150,xlmr,integrated_gradients,auprc,0.2825
Modulation,150,xlmr,integrated_gradients,f1_at_k,0.2415
Modulation,150,xlmr,integrated_gradients,precision_at_k,0.2415
Modulation,150,xlmr,integrated_gradients,recall_at_k,0.2415
Omission,61,xlmr,integrated_gradients,auprc,0.2618
Omission,61,xlmr,integrated_gradients,f1_at_k,0.2136
Omission,61,xlmr,integrated_gradients,precision_at_k,0.2136
Omission,61,xlmr,integrated_gradients,recall_at_k,0.2136
Synonymy,215,xlmr,integrated_gradients,auprc,0.2597
Synonymy,215,xlmr,integrated_gradients,f1_at_k,0.2151
Synonymy,215,xlmr,integrated_gradients,precision_at_k,0.2151
Synonymy,215,xlmr,integrated_gradients,recall_at_k,0.2151
Syntactic Change,80,xlmr,integrated_gradients,auprc,0.2665
Syntactic Change,80,xlmr,integrated_gradients,f1_at_k,0.2231
Syntactic Change,80,xlmr,integrated_gradients,precision_at_k,0.2231
Syntactic Change,80,xlmr,integrated_gradients,recall_at_k,0.2231
Compression,87,xlmr,raw_attention,auprc,0.218
Compression,87,xlmr,raw_attention,f1_at_k,0.182
Compression,87,xlmr,raw_attention,precision_at_k,0.182
Compression,87,xlmr,raw_attention,recall_at_k,0.182
Explanation,79,xlmr,raw_attention,auprc,0.2745
Explanation,79,xlmr,raw_attention,f1_at_k,0.2351
Explanation,79,xlmr,raw_attention,precision_at_k,0.2351
Explanation,79,xlmr,raw_attention,recall_at_k,0.2351
Modulation,150,xlmr,raw_attention,auprc,0.2369
Modulation,150,xlmr,raw_attention,f1_at_k,0.2003
Modulation,150,xlmr,raw_attention,precision_at_k,0.2003
Modulation,150,xlmr,raw_attention,recall_at_k,0.2003
Omission,61,xlmr,raw_attention,auprc,0.2332
Omission,61,xlmr,raw_attention,f1_at_k,0.2066
Omission,61,xlmr,raw_attention,precision_at_k,0.2066
Omission,61,xlmr,raw_attention,recall_at_k,0.2066
Synonymy,215,xlmr,raw_attention,auprc,0.225
Synonymy,215,xlmr,raw_attention,f1_at_k,0.1829
Synonymy,215,xlmr,raw_attention,precision_at_k,0.1829
Synonymy,215,xlmr,raw_attention,recall_at_k,0.1829
Syntactic Change,80,xlmr,raw_attention,auprc,0.2345
Syntactic Change,80,xlmr,raw_attention,f1_at_k,0.1942
Syntactic Change,80,xlmr,raw_attention,precision_at_k,0.1942
Syntactic Change,80,xlmr,raw_attention,recall_at_k,0.1942
