language,feature,median_diff,p_value,effect_size_r,p_holm,significant_holm
fr,tree_depth,0.0,0.0010915611850123652,-0.2617554296094177,0.013098734220148383,True
fr,mean_dep_distance,0.0,6.896840412664063e-06,-0.3203852501405288,0.0001310399678406172,True
fr,max_dep_distance,0.0,7.0054437870672565e-06,-0.3362579807442508,0.0001310399678406172,True
fr,n_punct,0.0,1.964328370020744e-05,-0.392503589705763,0.00033393582290352646,True
fr,n_named_entities,0.0,0.7020166428957013,-0.04979734601760906,1.0,False
fr,n_numbers,0.0,0.34100420899201556,-0.18954384914393643,1.0,False
fr,n_negations,0.0,0.31731050786291415,-1.0,1.0,False
it,n_tokens,2.0,1.5771202715315842e-12,-0.39416580828723097,2.2079683801442178e-11,True
it,char_count,0.0,0.13005145960213343,-0.08270943836009023,0.7803087576128006,False
it,mean_token_length,-0.43678160919540243,3.84271105629538e-35,-0.6717953260182216,7.301151006961222e-34,True
it,n_content_tokens,1.0,3.088676282146297e-10,-0.36240140140857857,4.015279166790186e-09,True
it,lexical_density,-0.008869179600886845,0.004283330489024719,-0.15845012821509113,0.029983313423173036,True
it,n_unique_lemmas,0.0,0.25318605157567975,-0.06438793982016783,0.7803087576128006,False
it,lexical_diversity,-0.21126703379198553,1.18322367343339e-09,-0.3328195581394647,1.419868408120068e-08,True
it,n_verbs,1.0,1.148820895199014e-13,-0.46052453489297474,1.8381134323184224e-12,True
it,n_finite_verbs,1.0,2.067382161507684e-19,-0.569496694072834,3.514549674563063e-18,True
it,n_clauses,0.0,1.1610195249907885e-05,-0.2802067135269988,0.00010449175724917096,True
it,n_subordinate_clauses,0.0,1.1610195249907885e-05,-0.2802067135269988,0.00010449175724917096,True
it,subordinate_rate,0.0,0.14487955930441315,-0.08459326061930304,0.7803087576128006,False
it,tree_depth,0.0,3.413315620554028e-06,-0.2789194733256937,3.413315620554028e-05,True
it,mean_dep_distance,0.17857142857142838,1.9284340193926005e-06,-0.2585702192773393,2.1212774213318604e-05,True
it,max_dep_distance,1.0,0.19155091513112443,-0.072849569060574,0.7803087576128006,False
it,n_punct,1.0,1.2995313415839254e-25,-0.6248337912323976,2.3391564148510656e-24,True
it,n_named_entities,0.0,3.953780521752392e-13,-0.5218770420804104,5.930670782628588e-12,True
it,n_numbers,0.0,0.5949720809333167,-0.07826005175525133,1.0,False
it,n_negations,0.0,1.0,0.0,1.0,False
