group,variable,count,mean,std,median,q1,q3,min,max,dimension
ca,target_alignment_coverage,380,69.32786842105264,17.714894838477427,69.63499999999999,57.045,81.82,15.22,100.0,collection
ca,links_per_source_token,380,0.8410196190795638,0.1479245099589777,0.8509259259259259,0.7359649122807017,0.9547979797979799,0.42424242424242425,1.2352941176470589,collection
ca,links_per_target_token,380,0.7378129140383419,0.18787908732486158,0.7368421052631579,0.6147642679900744,0.8699158485273493,0.15217391304347827,1.2727272727272727,collection
en,n_alignment_links,188,10.47340425531915,5.113088490391109,10.0,6.0,14.0,2.0,31.0,collection
en,source_alignment_coverage,188,80.49840425531914,22.529891792415462,88.195,66.3475,100.0,10.53,100.0,collection
en,target_alignment_coverage,188,81.5190425531915,21.225921926861936,87.22999999999999,66.67,100.0,14.29,100.0,collection
en,links_per_source_token,188,0.8417497001094087,0.25637967073346657,0.8918128654970761,0.6666666666666666,1.0,0.15789473684210525,2.0,collection
en,links_per_target_token,188,0.8337422762360606,0.2173212483377424,0.8918128654970761,0.70625,1.0,0.14285714285714285,1.2,collection
es,n_alignment_links,362,23.803867403314918,13.156955185995844,22.0,15.0,31.0,2.0,90.0,collection
es,source_alignment_coverage,362,74.01243093922652,18.044480533688812,75.72,62.349999999999994,87.785,14.08,100.0,collection
es,target_alignment_coverage,362,79.29013812154696,16.457530796734602,81.08,70.865,92.26,3.09,100.0,collection
es,links_per_source_token,362,0.7768137646562158,0.22198878752527051,0.7956095481670928,0.6585227272727272,0.9090909090909091,0.14084507042253522,3.0,collection
es,links_per_target_token,362,0.8285997715003688,0.17207684542871626,0.8473193473193473,0.7314102564102564,0.9663793103448276,0.030927835051546393,1.1428571428571428,collection
fr,n_alignment_links,258,10.771317829457365,7.695950663974321,9.0,5.0,14.0,1.0,56.0,collection
fr,source_alignment_coverage,258,84.97775193798451,19.060677685671582,95.435,75.0,100.0,32.08,100.0,collection
fr,target_alignment_coverage,258,76.49197674418605,24.76715891394727,84.21,57.2775,100.0,9.09,100.0,collection
fr,links_per_source_token,258,0.9061542294929463,0.24583550504764168,1.0,0.7777777777777778,1.0,0.3584905660377358,2.0,collection
fr,links_per_target_token,258,0.7939962637916392,0.26237015567424204,0.8823529411764706,0.6,1.0,0.09090909090909091,1.4,collection
it,n_alignment_links,320,24.33125,13.151502947593642,22.0,15.0,30.0,4.0,104.0,collection
it,source_alignment_coverage,320,72.8671875,12.587688749429255,72.315,64.595,81.25,40.0,100.0,collection
