language,side,feature,median,q1,q3,iqr
fr,complex,n_content_tokens,4.0,3.0,8.0,5.0
fr,complex,lexical_density,0.5,0.42857142857142855,0.5714285714285714,0.14285714285714285
fr,complex,n_unique_lemmas,9.0,6.0,16.0,10.0
fr,complex,lexical_diversity,3.0,2.2677868380553634,3.75,1.4822131619446366
fr,complex,n_verbs,1.0,1.0,2.0,1.0
fr,complex,n_finite_verbs,0.0,0.0,1.0,1.0
fr,complex,n_clauses,1.0,1.0,2.0,1.0
fr,complex,n_subordinate_clauses,0.0,0.0,1.0,1.0
fr,complex,subordinate_rate,0.0,0.0,0.06919642857142858,0.06919642857142858
fr,complex,tree_depth,3.0,2.0,4.0,2.0
fr,complex,mean_dep_distance,1.80625,1.407142857142857,2.414516129032258,1.007373271889401
fr,complex,max_dep_distance,5.0,3.0,11.0,8.0
fr,complex,n_punct,1.0,0.0,2.0,2.0
fr,complex,n_named_entities,0.0,0.0,1.0,1.0
fr,complex,n_numbers,0.0,0.0,0.0,0.0
fr,complex,n_negations,0.0,0.0,0.0,0.0
fr,simple,n_tokens,11.0,7.0,20.0,13.0
fr,simple,char_count,53.5,35.0,93.0,58.0
fr,simple,mean_token_length,4.9,4.3860225140712945,5.6,1.2139774859287051
fr,simple,n_content_tokens,5.0,3.0,9.0,6.0
fr,simple,lexical_density,0.5,0.42857142857142855,0.5454545454545454,0.11688311688311687
fr,simple,n_unique_lemmas,10.5,7.0,17.0,10.0
fr,simple,lexical_diversity,3.162277660168379,2.4748737341529163,3.9000674757995495,1.4251937416466331
fr,simple,n_verbs,1.0,1.0,2.0,1.0
fr,simple,n_finite_verbs,0.0,0.0,0.0,0.0
fr,simple,n_clauses,1.0,1.0,2.0,1.0
fr,simple,n_subordinate_clauses,0.0,0.0,1.0,1.0
fr,simple,subordinate_rate,0.0,0.0,0.07692307692307693,0.07692307692307693
fr,simple,tree_depth,4.0,3.0,5.0,2.0
fr,simple,mean_dep_distance,2.0,1.5,2.661764705882353,1.1617647058823528
fr,simple,max_dep_distance,6.0,3.0,14.0,11.0
fr,simple,n_punct,1.0,0.0,3.0,3.0
fr,simple,n_named_entities,0.0,0.0,0.0,0.0
fr,simple,n_numbers,0.0,0.0,0.0,0.0
fr,simple,n_negations,0.0,0.0,0.0,0.0
it,complex,n_tokens,29.0,21.0,39.0,18.0
it,complex,char_count,141.0,98.0,199.5,101.5
it,complex,mean_token_length,4.888888888888889,4.578947368421052,5.265987549518959,0.687040181097907
it,complex,n_content_tokens,14.0,10.0,20.0,10.0
